date,hour,percentage
06/06/2013,1,100.0
06/06/2013,2,100.0
06/06/2013,3,100.0
06/06/2013,4,100.0
06/06/2013,5,100.0
06/06/2013,6,100.0
06/06/2013,7,100.0
06/06/2013,8,100.0
06/06/2013,9,100.0
06/06/2013,10,100.0
06/06/2013,11,100.0
06/06/2013,12,100.0
06/06/2013,13,100.0
06/06/2013,14,100.0
06/06/2013,15,100.0
06/06/2013,16,100.0
06/06/2013,17,100.0
06/06/2013,18,100.0
06/06/2013,19,100.0
06/06/2013,20,100.0
06/06/2013,21,100.0
06/06/2013,22,100.0
07/06/2013,23,100.0
07/06/2013,0,100.0
07/06/2013,1,100.0
07/06/2013,2,100.0
07/06/2013,3,100.0
07/06/2013,4,100.0
07/06/2013,5,100.0
07/06/2013,6,100.0
07/06/2013,7,100.0
07/06/2013,8,100.0
07/06/2013,9,100.0
07/06/2013,10,100.0
07/06/2013,11,100.0
07/06/2013,12,100.0
07/06/2013,13,100.0
07/06/2013,14,100.0
07/06/2013,15,100.0
07/06/2013,16,100.0
07/06/2013,17,100.0
07/06/2013,18,100.0
07/06/2013,19,100.0
07/06/2013,20,100.0
07/06/2013,21,100.0
07/06/2013,22,100.0
08/06/2013,23,100.0
08/06/2013,0,100.0
08/06/2013,1,100.0
08/06/2013,2,100.0
08/06/2013,3,100.0
08/06/2013,4,100.0
08/06/2013,5,100.0
08/06/2013,6,100.0
08/06/2013,7,100.0
08/06/2013,8,100.0
08/06/2013,9,100.0
08/06/2013,10,100.0
08/06/2013,11,100.0
08/06/2013,12,100.0
08/06/2013,13,100.0
08/06/2013,14,100.0
08/06/2013,15,100.0
08/06/2013,16,100.0
08/06/2013,17,100.0
08/06/2013,18,100.0
08/06/2013,19,100.0
08/06/2013,20,100.0
08/06/2013,21,100.0
08/06/2013,22,100.0
09/06/2013,23,100.0
09/06/2013,0,100.0
09/06/2013,1,100.0
09/06/2013,2,100.0
09/06/2013,3,100.0
09/06/2013,4,100.0
09/06/2013,5,100.0
09/06/2013,6,100.0
09/06/2013,7,100.0
09/06/2013,8,100.0
09/06/2013,9,100.0
09/06/2013,10,100.0
09/06/2013,11,100.0
09/06/2013,12,100.0
09/06/2013,13,100.0
09/06/2013,14,100.0
09/06/2013,15,100.0
09/06/2013,16,100.0
09/06/2013,17,100.0
09/06/2013,18,100.0
09/06/2013,19,100.0
09/06/2013,20,100.0
09/06/2013,21,100.0
09/06/2013,22,100.0
10/06/2013,23,100.0
10/06/2013,0,100.0
10/06/2013,1,100.0
10/06/2013,2,100.0
10/06/2013,3,100.0
10/06/2013,4,100.0
10/06/2013,5,100.0
10/06/2013,6,100.0
10/06/2013,7,100.0
10/06/2013,8,100.0
10/06/2013,9,100.0
10/06/2013,10,100.0
10/06/2013,11,100.0
10/06/2013,12,100.0
10/06/2013,13,100.0
10/06/2013,14,100.0
10/06/2013,15,100.0
10/06/2013,16,100.0
10/06/2013,17,100.0
10/06/2013,18,100.0
10/06/2013,19,100.0
10/06/2013,20,100.0
10/06/2013,21,100.0
10/06/2013,22,100.0
11/06/2013,23,100.0
11/06/2013,0,100.0
11/06/2013,1,100.0
11/06/2013,2,100.0
11/06/2013,3,8.333333333333332
11/06/2013,5,91.66666666666666
11/06/2013,6,100.0
11/06/2013,7,100.0
11/06/2013,8,100.0
11/06/2013,9,100.0
11/06/2013,10,100.0
11/06/2013,11,100.0
11/06/2013,12,100.0
11/06/2013,13,100.0
11/06/2013,14,100.0
11/06/2013,15,100.0
11/06/2013,16,100.0
11/06/2013,17,100.0
11/06/2013,18,100.0
11/06/2013,19,100.0
11/06/2013,20,100.0
11/06/2013,21,100.0
11/06/2013,22,100.0
12/06/2013,23,100.0
12/06/2013,0,100.0
12/06/2013,1,100.0
12/06/2013,2,100.0
12/06/2013,3,100.0
12/06/2013,4,100.0
12/06/2013,5,100.0
12/06/2013,6,100.0
12/06/2013,7,100.0
12/06/2013,8,100.0
12/06/2013,9,100.0
12/06/2013,10,100.0
12/06/2013,11,100.0
12/06/2013,12,100.0
12/06/2013,13,100.0
12/06/2013,14,100.0
12/06/2013,15,100.0
12/06/2013,16,100.0
12/06/2013,17,100.0
12/06/2013,18,100.0
12/06/2013,19,100.0
12/06/2013,20,100.0
12/06/2013,21,100.0
12/06/2013,22,100.0
13/06/2013,23,100.0
13/06/2013,0,100.0
13/06/2013,1,100.0
13/06/2013,2,100.0
13/06/2013,3,100.0
13/06/2013,4,100.0
13/06/2013,5,100.0
13/06/2013,6,100.0
13/06/2013,7,100.0
13/06/2013,8,100.0
13/06/2013,9,100.0
13/06/2013,10,100.0
13/06/2013,11,100.0
13/06/2013,12,100.0
13/06/2013,13,100.0
13/06/2013,14,100.0
13/06/2013,15,100.0
13/06/2013,16,100.0
13/06/2013,17,100.0
13/06/2013,18,100.0
13/06/2013,19,100.0
13/06/2013,20,100.0
13/06/2013,21,100.0
13/06/2013,22,100.0
14/06/2013,23,100.0
14/06/2013,0,100.0
14/06/2013,1,100.0
14/06/2013,2,100.0
14/06/2013,3,100.0
14/06/2013,4,100.0
14/06/2013,5,100.0
14/06/2013,6,100.0
14/06/2013,7,100.0
14/06/2013,8,100.0
14/06/2013,9,100.0
14/06/2013,10,100.0
14/06/2013,11,100.0
14/06/2013,12,108.33333333333333
14/06/2013,13,100.0
14/06/2013,14,100.0
14/06/2013,15,100.0
14/06/2013,16,100.0
14/06/2013,17,100.0
14/06/2013,18,100.0
14/06/2013,19,100.0
14/06/2013,20,100.0
14/06/2013,21,100.0
14/06/2013,22,100.0
